,Restaurant,Category,Beverage,Size,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Pair,Standardized Size,Drink ID,Size_ml,Calories_per_100ml,Sugars (g)_per_100ml,Total Fat (g)_per_100ml,Total Carbohydrates (g)_per_100ml,Protein (g)_per_100ml
2,McDonalds,Coffee & Tea,Coffee,20 fl oz cup,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,1,Large,1_Large,591.47,0.0,0.0,0.0,0.0,0.0
33,Starbucks,Coffee,Brewed Coffee,20 fl oz cup,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0%,0%,2%,0%,1,Large,1_Large,591.47,0.8453514125822104,0.0,0.016907028251644207,1.6907028251644207,0.16907028251644207
1,McDonalds,Coffee & Tea,Coffee,16 fl oz cup,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,1,Medium,1_Medium,473.176,0.0,0.0,0.0,0.0,0.0
32,Starbucks,Coffee,Brewed Coffee,16 fl oz cup,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0%,0%,0%,0%,1,Medium,1_Medium,473.176,1.0566892657277631,0.0,0.021133785314555262,2.1133785314555262,0.21133785314555262
0,McDonalds,Coffee & Tea,Coffee,12 fl oz cup,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,1,Small,1_Small,354.882,0.0,0.0,0.0,0.0,0.0
31,Starbucks,Coffee,Brewed Coffee,12 fl oz cup,4,0.1,0.0,0.0,0,10,0,0,0,0.5,0%,0%,0%,0%,1,Small,1_Small,354.882,1.1271352167762805,0.0,0.028178380419407012,2.8178380419407016,0.14089190209703506
23,McDonalds,Coffee & Tea,Nonfat Latte,20 fl oz cup,170,0.5,0.0,0.0,180,25,10,1,21,16.0,15,0,50,2,2,Large,2_Large,591.47,28.741948027795157,3.5504759328452837,0.08453514125822104,4.226757062911052,2.705124520263073
36,Starbucks,Classic Espresso Drinks,Caffè Latte,20 fl oz cup,170,0.4,0.3,0.0,10,190,25,0,23,16.0,30%,0%,50%,0%,2,Large,2_Large,591.47,28.741948027795157,3.8886164978781674,0.06762811300657683,32.123353678124,2.705124520263073
22,McDonalds,Coffee & Tea,Nonfat Latte,16 fl oz cup,130,0.0,0.0,0.0,135,19,5,1,16,12.0,15,0,40,0,2,Medium,2_Medium,473.176,27.47392090892184,3.381405650328842,0.0,4.0154192097655,2.5360542377466313
35,Starbucks,Classic Espresso Drinks,Caffè Latte,16 fl oz cup,130,0.3,0.2,0.0,5,150,19,0,18,13.0,20%,0%,40%,0%,2,Medium,2_Medium,473.176,27.47392090892184,3.804081356619947,0.06340135594366578,31.700677971832892,2.747392090892184
21,McDonalds,Coffee & Tea,Nonfat Latte,12 fl oz cup,100,0.0,0.0,0.0,110,15,5,1,13,10.0,10,0,30,0,2,Small,2_Small,354.882,28.178380419407013,3.663189454522912,0.0,4.226757062911052,2.8178380419407016
34,Starbucks,Classic Espresso Drinks,Caffè Latte,12 fl oz cup,100,0.2,0.2,0.0,5,120,15,0,14,10.0,15%,0%,30%,0%,2,Small,2_Small,354.882,28.178380419407013,3.944973258716982,0.056356760838814024,33.81405650328841,2.8178380419407016
17,McDonalds,Coffee & Tea,Mocha with Nonfat Milk,20 fl oz cup,390,4.0,0.0,2.5,240,73,20,2,64,17.0,20,0,50,8,3,Large,3_Large,591.47,65.93741018141242,10.820498081052293,0.6762811300657683,12.342130623700271,2.874194802779515
39,Starbucks,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),20 fl oz cup,280,3.0,2.0,0.0,10,160,54,2,44,17.0,25%,0%,45%,30%,3,Large,3_Large,591.47,47.33967910460378,7.439092430723451,0.5072108475493262,27.05124520263073,2.874194802779515
16,McDonalds,Coffee & Tea,Mocha with Nonfat Milk,16 fl oz cup,330,3.5,0.0,2.0,190,60,15,2,53,13.0,15,0,40,6,3,Medium,3_Medium,473.176,69.74149153803236,11.200906216714289,0.7396824860094341,12.680271188733155,2.747392090892184
38,Starbucks,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),16 fl oz cup,220,2.5,1.5,0.0,5,125,43,2,34,13.0,20%,0%,35%,25%,3,Medium,3_Medium,473.176,46.49432769202158,7.185487006948789,0.5283446328638816,26.41723164319408,2.747392090892184
15,McDonalds,Coffee & Tea,Mocha with Nonfat Milk,12 fl oz cup,270,3.5,0.0,2.0,150,49,15,2,43,11.0,10,0,35,6,3,Small,3_Small,354.882,76.08162713239894,12.116703580345016,0.9862433146792455,13.807406405509436,3.0996218461347715
37,Starbucks,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),12 fl oz cup,170,2.0,1.0,0.0,5,100,32,1,27,10.0,15%,0%,25%,20%,3,Small,3_Small,354.882,47.90324671299192,7.608162713239894,0.5635676083881402,28.178380419407013,2.8178380419407016
5,McDonalds,Coffee & Tea,Frappé Caramel,22 fl oz cup,670,27.0,1.5,17.0,190,96,95,0,88,11.0,20,0,35,2,4,Large,4_Large,650.617,102.97917207819656,13.525622601315368,4.149906934494488,14.7552246559804,1.690702825164421
42,Starbucks,Frappuccino® Blended Coffee,Frappuccino Caramel (Without Whipped Cream),20 fl oz cup,330,0.1,0.1,0.0,5,290,78,0,77,5.0,10%,0%,15%,2%,4,Large,4_Large,591.47,55.793193230425885,13.01841175376604,0.016907028251644207,49.030381929768204,0.8453514125822104
4,McDonalds,Coffee & Tea,Frappé Caramel,16 fl oz cup,550,23.0,1.0,15.0,160,79,80,0,71,9.0,20,0,30,2,4,Medium,4_Medium,473.176,116.23581923005392,15.004987573334235,4.86077062234771,16.695690398498655,1.9020406783099735
41,Starbucks,Frappuccino® Blended Coffee,Frappuccino Caramel (Without Whipped Cream),16 fl oz cup,280,0.1,0.1,0.0,0,220,60,0,59,4.0,6%,0%,10%,0%,4,Medium,4_Medium,473.176,59.174598880754736,12.468933335587604,0.021133785314555262,46.49432769202158,0.8453514125822105
3,McDonalds,Coffee & Tea,Frappé Caramel,12 fl oz cup,450,19.0,1.0,12.0,125,64,65,0,57,7.0,15,0,25,2,4,Small,4_Small,354.882,126.80271188733157,16.061676839062,5.353892279687333,18.034163468420488,1.972486629358491
40,Starbucks,Frappuccino® Blended Coffee,Frappuccino Caramel (Without Whipped Cream),12 fl oz cup,180,0.1,0.0,0.0,0,160,42,0,41,3.0,4%,0%,10%,0%,4,Small,4_Small,354.882,50.72108475493262,11.553135971956875,0.028178380419407012,45.085408671051226,0.8453514125822105
14,McDonalds,Coffee & Tea,Hot Chocolate with Nonfat Milk,20 fl oz cup,400,3.5,0.0,2.5,280,74,20,1,69,19.0,25,0,60,8,5,Large,5_Large,591.47,67.62811300657683,11.665849493634504,0.5917459888075473,12.511200906216713,3.2123353678123996
51,Starbucks,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),20 fl oz cup,320,3.0,2.0,0.0,10,180,63,2,55,18.0,25%,0%,50%,30%,5,Large,5_Large,591.47,54.10249040526146,9.298865538404314,0.5072108475493262,30.432650852959576,3.0432650852959573
13,McDonalds,Coffee & Tea,Hot Chocolate with Nonfat Milk,16 fl oz cup,340,3.5,0.0,2.0,220,61,15,1,57,14.0,20,0,50,6,5,Medium,5_Medium,473.176,71.85487006948789,12.046257629296498,0.7396824860094341,12.89160904187871,2.9587299440377364
50,Starbucks,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),16 fl oz cup,240,2.5,1.5,0.0,5,140,48,2,41,14.0,20%,0%,40%,25%,5,Medium,5_Medium,473.176,50.72108475493262,8.664851978967656,0.5283446328638816,29.587299440377368,2.9587299440377364
12,McDonalds,Coffee & Tea,Hot Chocolate with Nonfat Milk,12 fl oz cup,280,3.5,0.0,2.0,180,50,15,1,46,12.0,15,0,40,6,5,Small,5_Small,354.882,78.89946517433964,12.962054992927227,0.9862433146792455,14.089190209703506,3.381405650328842
49,Starbucks,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),12 fl oz cup,190,2.0,1.0,0.0,5,110,37,1,32,11.0,15%,0%,30%,20%,5,Small,5_Small,354.882,53.53892279687332,9.017081734210244,0.5635676083881402,30.996218461347713,3.0996218461347715
25,McDonalds,Coffee & Tea,Regular Iced Coffee,22 fl oz cup,190,7.0,0.0,4.5,50,31,25,0,30,1.0,4,0,4,0,6,Large,6_Large,650.617,29.203048798294546,4.611007704993876,1.0759017978319043,4.764707961827005,0.15370025683312918
57,Starbucks,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),20 fl oz cup,160,0.1,0.1,0.0,0,50,36,0,36,4.0,6%,0%,10%,4%,6,Large,6_Large,591.47,27.05124520263073,6.086530170591915,0.016907028251644207,8.453514125822103,0.6762811300657683
24,McDonalds,Coffee & Tea,Regular Iced Coffee,16 fl oz cup,140,4.5,0.0,3.0,35,23,15,0,22,1.0,4,0,4,0,6,Medium,6_Medium,473.176,29.587299440377368,4.649432769202157,0.9510203391549867,4.86077062234771,0.21133785314555262
56,Starbucks,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),16 fl oz cup,110,0.1,0.0,0.0,0,30,24,0,24,2.0,4%,0%,8%,2%,6,Medium,6_Medium,473.176,23.24716384601079,5.072108475493263,0.021133785314555262,6.340135594366577,0.42267570629110524
55,Starbucks,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),12 fl oz cup,80,0.1,0.0,0.0,0,25,18,0,18,2.0,2%,0%,6%,0%,6,Small,6_Small,354.882,22.542704335525613,5.072108475493263,0.028178380419407012,7.044595104851753,0.5635676083881402
8,McDonalds,Coffee & Tea,Frappé Chocolate Chip,22 fl oz cup,760,31.0,1.5,20.0,200,111,95,1,99,12.0,20,0,35,6,7,Large,7_Large,650.617,116.81219519317818,15.216325426479788,4.764707961827005,17.06072850847734,1.84440308199755
45,Starbucks,Frappuccino® Blended Coffee,Frappuccino Java Chip (Without Whipped Cream),20 fl oz cup,420,5.0,4.0,0.0,5,340,90,2,84,7.0,10%,0%,20%,35%,7,Large,7_Large,591.47,71.00951865690567,14.201903731381135,0.8453514125822104,57.483896055590314,1.1834919776150945
